date,session_key,driver_number,gap_to_leader,interval,meeting_key
2026-07-05T14:11:52.113000+00:00,11326,1,8.473,0.808,1289
2026-07-05T14:11:54.221000+00:00,11326,1,8.549,0.869,1289
2026-07-05T14:11:55.166000+00:00,11326,1,8.558,0.88,1289
2026-07-05T14:11:59.795000+00:00,11326,1,8.308,0.739,1289
2026-07-05T14:12:03.058000+00:00,11326,1,8.191,0.68,1289
2026-07-05T14:12:06.531000+00:00,11326,1,8.213,0.694,1289
2026-07-05T14:12:10.598000+00:00,11326,1,8.335,0.653,1289
2026-07-05T14:12:16.610000+00:00,11326,1,,0.751,1289
2026-07-05T14:12:20.486000+00:00,11326,1,8.356,0.795,1289
2026-07-05T14:12:24.746000+00:00,11326,1,8.412,0.877,1289
2026-07-05T14:12:25.966000+00:00,11326,1,8.459,0.92,1289
2026-07-05T14:12:31.203000+00:00,11326,1,8.793,1.042,1289
2026-07-05T14:12:36.848000+00:00,11326,1,8.836,1.061,1289
2026-07-05T14:12:42.218000+00:00,11326,1,8.731,1.066,1289
2026-07-05T14:12:46.063000+00:00,11326,1,8.525,1.074,1289
2026-07-05T14:12:49.998000+00:00,11326,1,8.636,1.037,1289
2026-07-05T14:12:52.524000+00:00,11326,1,8.669,1.054,1289
2026-07-05T14:12:55.083000+00:00,11326,1,8.691,1.074,1289
2026-07-05T14:12:58.805000+00:00,11326,1,8.871,1.016,1289
2026-07-05T14:13:03.392000+00:00,11326,1,8.956,1.018,1289
2026-07-05T14:13:05.874000+00:00,11326,1,8.984,1.054,1289
2026-07-05T14:13:08.292000+00:00,11326,1,9.032,1.116,1289
2026-07-05T14:13:10.324000+00:00,11326,1,9.069,1.18,1289
2026-07-05T14:13:13.364000+00:00,11326,1,9.119,1.142,1289
2026-07-05T14:13:18.690000+00:00,11326,1,9.282,1.2,1289
2026-07-05T14:13:19.918000+00:00,11326,1,9.288,1.232,1289
2026-07-05T14:13:25.630000+00:00,11326,1,9.339,1.223,1289
2026-07-05T14:13:27.092000+00:00,11326,1,9.357,1.23,1289
2026-07-05T14:13:29.072000+00:00,11326,1,9.369,1.229,1289
2026-07-05T14:13:29.957000+00:00,11326,1,9.364,1.224,1289
2026-07-05T14:13:34.698000+00:00,11326,1,9.154,1.21,1289
2026-07-05T14:13:38.061000+00:00,11326,1,9.113,1.246,1289
2026-07-05T14:13:41.504000+00:00,11326,1,9.086,1.226,1289
2026-07-05T14:13:45.582000+00:00,11326,1,9.245,1.18,1289
2026-07-05T14:13:51.597000+00:00,11326,1,9.208,1.194,1289
2026-07-05T14:13:55.562000+00:00,11326,1,9.262,1.244,1289
2026-07-05T14:13:59.798000+00:00,11326,1,9.409,1.381,1289
2026-07-05T14:14:01.082000+00:00,11326,1,9.476,1.408,1289
2026-07-05T14:14:06.096000+00:00,11326,1,9.588,1.348,1289
2026-07-05T14:14:11.711000+00:00,11326,1,9.656,1.4,1289
2026-07-05T14:14:17.511000+00:00,11326,1,9.531,1.356,1289
2026-07-05T14:14:21.017000+00:00,11326,1,9.388,1.348,1289
2026-07-05T14:14:24.973000+00:00,11326,1,9.416,1.303,1289
2026-07-05T14:14:27.510000+00:00,11326,1,9.408,1.296,1289
2026-07-05T14:14:30.077000+00:00,11326,1,9.402,1.262,1289
2026-07-05T14:14:33.785000+00:00,11326,1,9.551,1.229,1289
2026-07-05T14:14:38.373000+00:00,11326,1,9.534,1.239,1289
2026-07-05T14:14:40.885000+00:00,11326,1,9.539,1.265,1289
2026-07-05T14:14:43.338000+00:00,11326,1,9.557,1.309,1289
2026-07-05T14:14:45.420000+00:00,11326,1,9.554,1.354,1289
2026-07-05T14:14:48.458000+00:00,11326,1,9.584,1.348,1289
2026-07-05T14:14:53.665000+00:00,11326,1,9.591,1.424,1289
2026-07-05T14:14:54.962000+00:00,11326,1,9.588,1.456,1289
2026-07-05T14:15:00.751000+00:00,11326,1,9.771,1.446,1289
2026-07-05T14:15:02.140000+00:00,11326,1,9.778,1.428,1289
2026-07-05T14:15:04.186000+00:00,11326,1,9.794,1.429,1289
2026-07-05T14:15:05.037000+00:00,11326,1,9.79,1.428,1289
2026-07-05T14:15:09.899000+00:00,11326,1,9.673,1.426,1289
2026-07-05T14:15:13.221000+00:00,11326,1,9.617,1.424,1289
2026-07-05T14:15:16.772000+00:00,11326,1,9.702,1.52,1289
2026-07-05T14:15:20.846000+00:00,11326,1,9.865,1.423,1289
2026-07-05T14:15:26.964000+00:00,11326,1,9.807,1.458,1289
2026-07-05T14:15:30.821000+00:00,11326,1,9.84,1.49,1289
2026-07-05T14:15:35.159000+00:00,11326,1,9.961,1.549,1289
2026-07-05T14:15:36.455000+00:00,11326,1,9.996,1.548,1289
2026-07-05T14:15:41.457000+00:00,11326,1,10.132,1.523,1289
2026-07-05T14:15:47.033000+00:00,11326,1,10.245,1.576,1289
2026-07-05T14:15:52.460000+00:00,11326,1,10.092,1.54,1289
2026-07-05T14:15:56.321000+00:00,11326,1,9.886,1.532,1289
2026-07-05T14:16:00.251000+00:00,11326,1,9.947,1.457,1289
2026-07-05T14:16:02.776000+00:00,11326,1,9.969,1.465,1289
2026-07-05T14:16:05.372000+00:00,11326,1,9.986,1.462,1289
2026-07-05T14:16:09.154000+00:00,11326,1,10.179,1.379,1289
2026-07-05T14:16:13.684000+00:00,11326,1,10.185,1.299,1289
2026-07-05T14:16:16.237000+00:00,11326,1,10.214,1.323,1289
2026-07-05T14:16:18.644000+00:00,11326,1,10.274,1.364,1289
2026-07-05T14:16:20.706000+00:00,11326,1,10.314,1.402,1289
2026-07-05T14:16:23.738000+00:00,11326,1,10.369,1.36,1289
2026-07-05T14:16:28.931000+00:00,11326,1,10.465,1.49,1289
2026-07-05T14:16:30.272000+00:00,11326,1,10.476,1.537,1289
2026-07-05T14:16:36.041000+00:00,11326,1,10.671,1.555,1289
2026-07-05T14:16:37.418000+00:00,11326,1,10.705,1.55,1289
2026-07-05T14:16:39.449000+00:00,11326,1,10.732,1.541,1289
2026-07-05T14:16:40.325000+00:00,11326,1,10.729,1.539,1289
2026-07-05T14:16:45.151000+00:00,11326,1,10.616,1.529,1289
2026-07-05T14:16:48.444000+00:00,11326,1,10.533,1.515,1289
2026-07-05T14:16:51.959000+00:00,11326,1,10.618,1.536,1289
2026-07-05T14:16:56.154000+00:00,11326,1,10.912,1.509,1289
2026-07-05T14:17:02.288000+00:00,11326,1,10.992,1.596,1289
2026-07-05T14:17:06.227000+00:00,11326,1,11.056,1.658,1289
2026-07-05T14:17:10.564000+00:00,11326,1,11.177,1.751,1289
2026-07-05T14:17:11.819000+00:00,11326,1,11.214,1.766,1289
2026-07-05T14:17:16.908000+00:00,11326,1,11.423,1.759,1289
2026-07-05T14:17:22.484000+00:00,11326,1,11.504,1.756,1289
2026-07-05T14:17:27.924000+00:00,11326,1,11.364,1.734,1289
2026-07-05T14:17:31.770000+00:00,11326,1,11.158,1.693,1289
2026-07-05T14:17:35.782000+00:00,11326,1,11.231,1.598,1289
2026-07-05T14:17:38.318000+00:00,11326,1,11.269,1.611,1289
2026-07-05T14:17:40.940000+00:00,11326,1,11.292,1.602,1289
2026-07-05T14:17:44.660000+00:00,11326,1,11.518,1.583,1289
2026-07-05T14:17:49.286000+00:00,11326,1,11.588,1.587,1289
2026-07-05T14:17:51.810000+00:00,11326,1,11.593,1.613,1289
2026-07-05T14:17:54.265000+00:00,11326,1,11.597,1.652,1289
2026-07-05T14:17:56.343000+00:00,11326,1,11.595,1.69,1289
2026-07-05T14:17:59.341000+00:00,11326,1,11.63,1.698,1289
2026-07-05T14:18:04.550000+00:00,11326,1,11.694,1.799,1289
2026-07-05T14:18:05.852000+00:00,11326,1,11.681,1.835,1289
2026-07-05T14:18:11.564000+00:00,11326,1,11.836,1.808,1289
2026-07-05T14:18:13.012000+00:00,11326,1,11.882,1.824,1289
2026-07-05T14:18:15.129000+00:00,11326,1,11.902,1.82,1289
2026-07-05T14:18:15.968000+00:00,11326,1,11.897,1.819,1289
2026-07-05T14:18:20.800000+00:00,11326,1,11.743,1.777,1289
2026-07-05T14:18:24.055000+00:00,11326,1,11.648,1.735,1289
