date,session_key,pressure,rainfall,track_temperature,wind_speed,meeting_key,wind_direction,air_temperature,humidity
2023-09-15T13:11:12.750000+00:00,9159,1010.2,0,37.1,1.2,1219,156,30.0,73.0
2023-09-15T13:12:12.749000+00:00,9159,1010.2,0,36.5,1.3,1219,175,30.0,73.0
2023-09-15T13:13:12.748000+00:00,9159,1010.2,0,37.2,1.3,1219,176,30.1,72.0
2023-09-15T13:14:12.747000+00:00,9159,1010.2,0,36.8,1.6,1219,182,30.1,72.0
2023-09-15T13:15:12.746000+00:00,9159,1010.2,0,36.8,1.5,1219,187,30.1,72.0
2023-09-15T13:16:12.745000+00:00,9159,1010.4,0,37.0,1.1,1219,190,30.1,72.0
2023-09-15T13:17:12.744000+00:00,9159,1010.4,0,37.0,1.1,1219,191,30.1,72.0
2023-09-15T13:18:12.758000+00:00,9159,1010.4,0,37.0,1.5,1219,136,30.1,72.0
2023-09-15T13:19:12.757000+00:00,9159,1010.5,0,36.9,1.2,1219,162,30.1,72.0
2023-09-15T13:20:12.756000+00:00,9159,1010.4,0,36.9,0.8,1219,186,30.1,72.0
2023-09-15T13:21:12.755000+00:00,9159,1010.5,0,36.8,1.1,1219,145,30.1,72.0
2023-09-15T13:22:12.754000+00:00,9159,1010.5,0,36.9,0.5,1219,0,30.0,72.0
2023-09-15T13:23:12.753000+00:00,9159,1010.5,0,36.5,0.5,1219,201,30.0,72.0
2023-09-15T13:24:12.752000+00:00,9159,1010.5,0,36.7,0.5,1219,164,29.9,72.0
2023-09-15T13:25:12.751000+00:00,9159,1010.5,0,36.5,0.8,1219,193,29.9,72.0
2023-09-15T13:26:12.750000+00:00,9159,1010.5,0,36.4,1.1,1219,208,29.9,72.0
2023-09-15T13:27:12.749000+00:00,9159,1010.5,0,36.4,1.1,1219,166,29.9,72.0
2023-09-15T13:28:12.764000+00:00,9159,1010.5,0,36.4,1.0,1219,200,29.9,72.0
2023-09-15T13:29:12.762000+00:00,9159,1010.5,0,36.6,1.5,1219,188,30.0,72.0
2023-09-15T13:30:12.762000+00:00,9159,1010.7,0,36.8,1.3,1219,236,30.0,72.0
2023-09-15T13:31:12.760000+00:00,9159,1010.5,0,36.8,1.1,1219,182,30.1,71.0
2023-09-15T13:32:12.759000+00:00,9159,1010.7,0,36.8,1.8,1219,193,30.1,69.0
2023-09-15T13:33:12.758000+00:00,9159,1010.5,0,36.5,1.2,1219,172,30.1,69.0
2023-09-15T13:34:12.757000+00:00,9159,1010.7,0,36.5,1.3,1219,170,30.1,69.0
2023-09-15T13:35:12.756000+00:00,9159,1010.7,0,36.4,1.5,1219,181,30.1,69.0
2023-09-15T13:36:12.771000+00:00,9159,1010.7,0,36.6,1.3,1219,186,30.1,69.0
2023-09-15T13:37:12.770000+00:00,9159,1010.7,0,36.7,1.8,1219,191,30.1,68.0
2023-09-15T13:38:12.769000+00:00,9159,1010.5,0,36.7,1.7,1219,186,30.1,69.0
2023-09-15T13:39:12.767000+00:00,9159,1010.7,0,36.6,1.7,1219,185,30.1,69.0
2023-09-15T13:40:12.766000+00:00,9159,1010.5,0,36.3,2.0,1219,187,30.1,69.0
2023-09-15T13:41:12.781000+00:00,9159,1010.7,0,36.4,1.6,1219,163,30.1,69.0
2023-09-15T13:42:12.796000+00:00,9159,1010.7,0,36.4,1.3,1219,154,30.1,69.0
2023-09-15T13:43:12.810000+00:00,9159,1010.7,0,36.4,1.2,1219,156,30.1,69.0
2023-09-15T13:44:12.825000+00:00,9159,1010.5,0,36.3,1.2,1219,164,30.1,69.0
2023-09-15T13:45:12.808000+00:00,9159,1010.5,0,36.2,1.2,1219,186,30.0,69.0
2023-09-15T13:46:12.838000+00:00,9159,1010.5,0,36.1,1.1,1219,185,30.0,70.0
